page,text,left,top,width,height
1,5-Point Networking Email,0.4035947712418301,0.050505050505050504,0.1895424836601307,0.011363636363636364
1,"Steve Dalton, the author of The 2-Hour Job Search believes the perfect networking email is a ""5-Point E-mail"". The five",0.05718954248366013,0.0845959595959596,0.8594771241830066,0.012626262626262626
1,points are as follows:,0.058823529411764705,0.10227272727272728,0.15196078431372548,0.012626262626262626
1,1. 100 words or less,0.08823529411764706,0.13636363636363635,0.15522875816993464,0.010101010101010102
1,2. No mention of jobs (in subject or body),0.08660130718954248,0.1527777777777778,0.3137254901960784,0.012626262626262626
1,"3. Connection goes first (e.g., ND connection)",0.08823529411764706,0.1691919191919192,0.33986928104575165,0.012626262626262626
1,4. Generalize your interest,0.08660130718954248,0.18686868686868688,0.2042483660130719,0.011363636363636364
1,5. Maintain control of the follow up,0.08823529411764706,0.20454545454545456,0.27124183006535946,0.012626262626262626
1,Here's an example of what a 5-Point email would look like:,0.058823529411764705,0.255050505050505,0.42483660130718953,0.012626262626262626
1,Subject: Notre Dame MBA Student Seeking Your Advice,0.11601307189542484,0.28914141414141414,0.4133986928104575,0.011363636363636364
1,"Dear Mr. Jones,",0.11764705882352941,0.32323232323232326,0.11274509803921569,0.011363636363636364
1,"My name is Brooke Franklin, and I'm a first-year Notre Dame MBA student who found your",0.11764705882352941,0.3560606060606061,0.6617647058823529,0.012626262626262626
1,information in the ND alumni database. May I have 15 minutes of your time to ask you about,0.11764705882352941,0.37373737373737376,0.6764705882352942,0.012626262626262626
1,your experience with IBM? I'm trying to learn more about marketing careers at technology,0.11601307189542484,0.39015151515151514,0.6601307189542484,0.012626262626262626
1,companies and your insights would be very helpful.,0.11764705882352941,0.4078282828282828,0.37254901960784315,0.012626262626262626
1,"| realize this may be a busy time for you, so if we're unable to connect this week, I'll try again",0.11764705882352941,0.44065656565656564,0.6748366013071896,0.012626262626262626
1,next week to see whether that is more convenient.,0.11764705882352941,0.4583333333333333,0.3709150326797386,0.010101010101010102
1,"Thank you for your time,",0.11601307189542484,0.49242424242424243,0.1781045751633987,0.012626262626262626
1,Brooke,0.11764705882352941,0.51010101010101,0.05065359477124183,0.008838383838383838
1,The most important part of this email may be the follow-up; an email like this allows you to reach out again in a week if,0.05718954248366013,0.5429292929292929,0.8709150326797386,0.012626262626262626
1,you haven't heard back without feeling like you're bothering the person at the other end. If you don't hear anything,0.05718954248366013,0.5606060606060606,0.8431372549019608,0.012626262626262626
1,"after the second attempt, you can probably cross him/her off your list and move on to the next contact.",0.058823529411764705,0.577020202020202,0.7549019607843137,0.012626262626262626
2,36 Westmoreland Drive,0.7055029141180245,0.026130749295147308,0.20829133654913104,0.010689851984378445
2,Newcastle upon Tyne,0.722300602549406,0.04275940793751378,0.1914936481177495,0.013065374647573654
2,NE1 8LT,0.8365248838828004,0.05938806657988025,0.07894913562749321,0.010689851984378445
2,Mr Mark Wilson,0.08230867331376952,0.07601672522224671,0.1377410451373286,0.010689851984378445
2,UK Health Trust,0.08230867331376952,0.09145762253301558,0.14278035166674305,0.010689851984378445
2,18 Whitehall Square,0.08398844215690768,0.10808628117538205,0.17973526621578242,0.01425313597917126
2,London,0.08230867331376952,0.12471493981774852,0.06383121603924984,0.010689851984378445
2,SW1 9LT,0.08230867331376952,0.141343598460115,0.08230867331376952,0.010689851984378445
2,11 th January 2015,0.7558959794121691,0.15440897310768864,0.15789827125498643,0.01662865864236647
2,Dear Mr Wilson,0.08230867331376952,0.17341315441325034,0.13606127629419043,0.010689851984378445
2,Re: Community Health Development Officer [HD/12/2014],0.08230867331376952,0.20073166503999523,0.5442451051767617,0.01425313597917126
2,"I am writing to apply for the above post, as advertised on the Health UK recruitment site. I am",0.08230867331376952,0.22805017566674016,0.8281260396671096,0.01425313597917126
2,a sociology graduate with a 2:1from Newcastle University. I have relevant health awareness,0.08230867331376952,0.2446788343091066,0.8230867331376952,0.01425313597917126
2,"experience, and I am looking for a position where I can employ my knowledge and skills in",0.08230867331376952,0.2613074929514731,0.8029295070200374,0.01425313597917126
2,support of health and community development. I enclose my CV for your attention.,0.08230867331376952,0.27674839026224196,0.7323792156082349,0.01425313597917126
2,I am eager to work for UK Health Trust because of your ground-breaking work within the field,0.08230867331376952,0.30525466222058445,0.8264462708239715,0.01425313597917126
2,of community health. I became aware of the work of the Trust when carrying out my,0.08230867331376952,0.3206955595313533,0.744137597510202,0.01425313597917126
2,"dissertation, 'Generational Change in Local Health Awareness, where I researched health",0.08230867331376952,0.3373242181737198,0.7978902004906229,0.01425313597917126
2,awareness of children and elderly people in a deprived location. I referred to a number of,0.08230867331376952,0.3539528768160863,0.7911711251180703,0.01425313597917126
2,publications produced by UK Health Trust and was impressed by the innovative techniques,0.08230867331376952,0.37058153545845274,0.80964858239259,0.01425313597917126
2,your organisation uses to engage local community members in projects. The Community,0.08230867331376952,0.3860224327692216,0.7894913562749322,0.01425313597917126
2,Health Development Officer position would further develop my existing abilities and my,0.08230867331376952,0.40265109141158806,0.7710138990004125,0.01425313597917126
2,"understanding of community development, allowing me to contribute in a practical way to",0.08230867331376952,0.41927975005395457,0.7894913562749322,0.01425313597917126
